title,category,nominee,artist,workers,img
61st Annual GRAMMY Awards  (2018),Record Of The Year,This Is America,Childish Gambino,"Donald Glover & Ludwig Göransson, producers; Derek “MixedByAli” Ali, Riley Mackin, Shaan Singh & Alex Tumay, engineers/mixers; Mike Bozzi, mastering engineer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/childishgambino-spotlight.png?itok=pjH-sfYc
61st Annual GRAMMY Awards  (2018),Album Of The Year,Golden Hour,Kacey Musgraves,"Ian Fitchuk, Kacey Musgraves & Daniel Tashian, producers; Craig Alvin & Shawn Everett, engineers/mixers; Ian Fitchuk, Kacey Musgraves & Daniel Tashian, songwriters; Greg Calbi & Steve Fallone, mastering engineers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/kaceymusgraves-spotlight-510439046.png?itok=rA315_0l
61st Annual GRAMMY Awards  (2018),Song Of The Year,This Is America,,"Donald Glover, Ludwig Göransson & Jeffery Lamar Williams, songwriters (Childish Gambino)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/childishgambino-spotlight.png?itok=pjH-sfYc
61st Annual GRAMMY Awards  (2018),Best New Artist,Dua Lipa,,,
61st Annual GRAMMY Awards  (2018),Best Pop Solo Performance,Joanne (Where Do You Think You're Goin'?),Lady Gaga,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/ladygaga-spotlight-90799382.png?itok=GDV1TTDc
61st Annual GRAMMY Awards  (2018),Best Pop Duo/Group Performance,Shallow,Lady Gaga & Bradley Cooper,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/ladygaga-spotlight-90799382.png?itok=GDV1TTDc
61st Annual GRAMMY Awards  (2018),Best Traditional Pop Vocal Album,My Way,Willie Nelson,"Buddy Cannon & Matt Rollings, producers; Tony Castle, Steve Chadie & Ed Cherney, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/willie_nelson_spotlight_468097296.png?itok=nSuGUjJ5
61st Annual GRAMMY Awards  (2018),Best Pop Vocal Album,Sweetener,Ariana Grande,"Pharrell Williams, producer; Mike Larson, engineer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/arianagrande-spotlight-600664314.png?itok=OY5mPLSv
61st Annual GRAMMY Awards  (2018),Best Dance Recording,Electricity,Silk City & Dua Lipa Featuring Diplo & Mark Ronson,"Jarami, Alex Metric, Riton & Silk City, producers; Josh Gudwin, mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Silk%2BCity/Silk%2520City_1_1_1575355795.jpg?itok=tWhvgZvM
61st Annual GRAMMY Awards  (2018),Best Dance/Electronic Album,Woman Worldwide,Justice,"Justice, producers; Justice, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Justice/Justice_1_1_1575363094.jpg?itok=NoZFQoef
61st Annual GRAMMY Awards  (2018),Best Contemporary Instrumental Album,Steve Gadd Band,Steve Gadd Band,"Rich Breen, engineer/mixer",
61st Annual GRAMMY Awards  (2018),Best Rock Performance,When Bad Does Good,Chris Cornell,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/chris_cornell_spotlight.png?itok=a12SRFo7
61st Annual GRAMMY Awards  (2018),Best Metal Performance,Electric Messiah,High On Fire,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/High%2BOn%2BFire/High%2520On%2520Fire_1_1_1575355814.jpg?itok=hzFyjUka
61st Annual GRAMMY Awards  (2018),Best Rock Song,Masseduction,,"Jack Antonoff & Annie Clark, songwriters (St. Vincent)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/jack.png?itok=qPWzu57c
61st Annual GRAMMY Awards  (2018),Best Rock Album,From The Fires,Greta Van Fleet,"Herschel Boone, Al Sutton & Marlon Young, producers; Al Sutton, engineer/mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/gretavanfleet_spotlight.png?itok=7sTyWKgA
61st Annual GRAMMY Awards  (2018),Best Alternative Music Album,Colors,Beck,"Beck & Greg Kurstin, producers; Julian Burg, Serban Ghenea, David Greenbaum, John Hanes, Greg Kurstin, Florian Lagatta, Cole M.G.N., Alex Pasco, Jesse Shatkin, Darrel Thorp & Cassidy Turbin, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/beck-spotlight-486799285.png?itok=Sm9lBMMy
61st Annual GRAMMY Awards  (2018),Best R&B Performance,Best Part,H.E.R. Featuring Daniel Caesar,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/her-spotlight.png?itok=ipHne-hM
61st Annual GRAMMY Awards  (2018),Best Traditional R&B Performance,Bet Ain't Worth The Hand,Leon Bridges,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/leonbridges-spotlight-472193758.png?itok=WfvppvWG
61st Annual GRAMMY Awards  (2018),Best R&B Song,Boo'd Up,,"Larrance Dopson, Joelle James, Ella Mai & Dijon McFarlane, songwriters (Ella Mai)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Joelle%2BJames/Joelle%2520James_1_1_1575356095.jpg?itok=K25GNn8w
61st Annual GRAMMY Awards  (2018),Best Urban Contemporary Album,Everything Is Love,The Carters,"The Carters, producers; Gimel ""Young Guru"" Keaton & Stuart White, engineers/mixers",
61st Annual GRAMMY Awards  (2018),Best R&B Album,H.E.R.,H.E.R.,"David ""Swagg R'Celius"" Harris, H.E.R., Walter Jones & Jeff Robinson, producers; Mikinari Tsutsumi, engineer/mixer",https://www.grammy.com/sites/com/files/styles/artist_circle/public/her-spotlight.png?itok=ipHne-hM
61st Annual GRAMMY Awards  (2018),Best Rap Performance,King's Dead,"Kendrick Lamar, Jay Rock, Future & James Blake",,https://www.grammy.com/sites/com/files/styles/artist_circle/public/kendricklamar-spotlight.png?itok=i1pZtRGJ
61st Annual GRAMMY Awards  (2018),Best Rap/Sung Performance,This Is America,Childish Gambino,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/childishgambino-spotlight.png?itok=pjH-sfYc
61st Annual GRAMMY Awards  (2018),Best Rap Song,God's Plan,,"Aubrey Graham, Daveon Jackson, Brock Korsan, Ron LaTour, Matthew Samuels & Noah Shebib, songwriters (Drake)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/drake-spotlight-610823972.png?itok=W1KkeOdT
61st Annual GRAMMY Awards  (2018),Best Rap Album,Invasion Of Privacy,Cardi B,"Leslie Brathwaite & Evan LaRay, engineers/mixers",https://www.grammy.com/sites/com/files/styles/artist_circle/public/cardib-spotlight.png?itok=B8dlIC2X
61st Annual GRAMMY Awards  (2018),Best Country Solo Performance,Butterflies,Kacey Musgraves,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/kaceymusgraves-spotlight-510439046.png?itok=rA315_0l
61st Annual GRAMMY Awards  (2018),Best Country Duo/Group Performance,Tequila,Dan + Shay,,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Dan%2B%252B%2BShay/Dan%2520%252B%2520Shay_1_1_1574344555.jpg?itok=3K1eclX8
