coordinate,address,city,state,postal_code,ad_type,description,beds,bath,sqr_lot,sqft,year,style,property_type,price,currency
"('37.727131', '-122.426165')",89 Naples St,San Francisco,CA,94112,place,"Beautiful Victorian circa 1905 with high ceilings, hardwood floors and many original details from the era. The main level has a living room, 1 bedroom, bathroom, kitchen with eating area, laundry room &  formal dining room (being used as bedroom). The top floor has 2 bedrooms, one with a skylight from which you have beautiful downtown views, and a bathroom with a clawfoot tub. At the street level, there is a large in-law unit (most likely unwarranted) with bathroom, kitchenette and its own entry and access to the back yard. 1 car garage and room to park a second car on the driveway.  The main house is rented month-to-month for $3,850 per month and the in-law unit is vacant. Great location! Close to Silver, Mission St, freeway access, shopping and transportation.",3,3,"1,875",,Built 1905,Style  Victorian,Type Single Family Home,"$930,000",
"('37.735253', '-122.432332')",3045 Castro St,San Francisco,CA,94131,place,"Beautifully enchanting Glen Park home w/ wonderful floor plan for modern lifestyle, situated on a view corner lot. Gorgeous chef's kitchen w/ marble countertops, ample cabinetry, wood floors, GE Profile stainless steel range & hood, LG refrigerator & dishwasher, Bosch w/d, counter seating & adjoining dining area w/ verdant garden outlooks. Elegant bathroom features marble sink, glassed-in shower & bamboo shelf. Spacious LR w/multiple seating areas, gleaming hardwood floors & impressive brick fireplace. Two BR's are bright w/ south vistas. Bonus room has awesome views from 3 sets of windows. Light streams into this fully detached house bordered by upper & lower yards with patios & planting areas. Stellar location close to Glen Park's amenities: Canyon Market, Farmer's Market, Glen Park Library, Glen Canyon Park & Rec Center, Destination Bakery, eateries such as Le P'tit Laurent, Tekka House Sushi, Manzoni & more. Easy commute: BART, freeway access.",2,1,"2,265","1,193",Built 1910,Style  Traditional,Type Single Family Home,"$1,249,000",
"('37.73024', '-122.394956')",59 Reddy St,San Francisco,CA,94124,place,"Great curb appeal welcomes you to this wonderful home. 59 Reddy is the perfect blend of modern systems and features with classic 1916 old world charm. The kitchen is the heart of the home with optimum layout and space, newer appliances, and warm natural light. Peninsula seating and adjacent to living, dining, and patio space. Two bedrooms and a bath finish out this main level. Upstairs is an enviable master bedroom suite with a luxury skylighted shower, laundry, and views. The lower level features nicely finished bonus rooms perfect for extended family, home office, and other uses. Other notable features include updated systems, high ceilings, refinished wood floors, mostly newer double pane windows, wainscoting, fashionable lighting, and a large yard with southeast sun. The location is 3 blks to 3rd Street shopping and T Muni line. Short distance to San Bruno and Cortland Ave as well. Convenient to freeways as well as the 8AX express Muni bus to Downtown/Chinatown/North Beach.",3,2,"2,500","1,395",Built 1916,Style              Edwardian/Arts & Crafts,Type Single Family Home,"$899,000",
"('37.778982', '-122.391752')",177 Townsend St Unit 425,San Francisco,CA,94107,place,"2BR 2BA 1PKG 1Storage Large Private Terrace, come home to your RETREAT in the city! Building has state of the art amenities: heated pool, hot tub, courtyard with BBQ grills, gym, private theater, roof deck, beautiful owner's lounge and on site management. Low HOA's $777.61. Kitchen has gas stove, seated bar, lots of storage. Living/Dining combination has access to terrace for great entertaining space. Built in desk area off living. Master with ensuite, double vanity and stall shower. Walk in closet with organizers for maximum storage. Great location; close to Oracle Park, Chase Center, restaurants, shopping, coffee shops, sports bars and parks. Transit score 100 Walking score 98. Welcome Home!",2,2,,"1,004",Built 2007,Style  Contemporary,Type Condo/Townhome/Row Home/Co-Op,"$1,249,000",
"('37.744492', '-122.501256')",2262 43rd Ave,San Francisco,CA,94116,place,"Located in one of SF's most desirable and in demand neighborhoods, this lovely, light and bright English Entry home includes an open floor plan with remodeled kitchen. With bedrooms on two levels, this property offers flexibility of living. 1 car garage and 1 car driveway parking. Close to the Beach with a straight shot down Sunset Blvd towards 280, this neighborhood offers easy access to a wide variety of shops and restaurants. Excellent public transportation is available close by. A Hot Tub in this lovely setting in the backyard and Owned Solar Panel System are passed to buyer at close.",3,2,"2,996","1,180",Built 1943,Style  Traditional,Type Single Family Home,"$1,098,000",
"('37.77393', '-122.396241')",300 Berry St Unit 1512,San Francisco,CA,94158,place,"Views, views, views! Welcome to Arterra, Mission Bay's first LEED-certified green luxury residential highrise. Situated high on the northwest corner of the building, #1512 commands expansive views of the city skyline and Twin Peaks through floor-to-ceiling windows that flood the unit with natural light. The 2BR/2BA split floorplan features hardwood floors, open kitchen with granite counters and stainless appliances, and a private view balcony. Building amenities include 24-hour doorman, fitness center, guest suite, and roof deck with BBQ area, all while still maintaining low HOA dues. Close to fine dining, entertainment, Oracle Park, Mission Creek Park, CalTrain and 101/280. 1 deeded parking space is included. Come live the good life in Mission Bay!",2,2,,966,Built 2009,Style  Modern/High Tech,Type Condo/Townhome/Row Home/Co-Op,"$1,379,000",
"('37.734042', '-122.414569')",738 Gates St,San Francisco,CA,94110,place,"Stunning Fully Renovated Bernal Heights Home! This single family home has been thoughtfully renovated to fit modern day needs, turnkey ready for the next few generations! Open space concept, modern kitchen, new cabinetry, max storage, quartz counter tops, stainless appliances, dining area, 3 Bedrooms, and 3 full bathrooms. All new windows, electrical, plumbing, recessed overhead LED lighting throughout , Furnace, Tankless hot water heater, patio, fences, decking and roof. Easy access to newly renovated entertainment ready backyard through master bedroom and family room. Keyless entry, Smart lighting, Nest, Internet/Cable ready. Easy 101 and 280 freeway access. Grab a coffee at Progressive Grounds, have pizza night at Vega, or pickup sweet and savory treats at Little Bee Baking. The SF urban lifestyle perfected! This is not a must see, this is a must have!!",3,3,"1,750","1,210",Built 1965,Built 1965,Type Single Family Home,"$1,249,000",
"('37.776104', '-122.410072')",73 Sumner St Apt 401,San Francisco,CA,94103,place,"This contemporary penthouse 2-level, 3 (enclosed) bedroom, 2.5 bath loft is located on a quiet cul-de-sac in the heart of SOMA. Features an open living area w/vaulted ceilings & central fireplace, flooded with natural light from the west facing bank of tall windows. On the first level are 2BRs, one en suite. The modern efficient kitchen has updated cabinets, range and refrigerator, microwave. In-unit washer/dryer, storage, powder room. Systems include circulating air and radiant heat. Sweeping city skyline + Twin Peaks views enjoyed from the upper level master suite & adjoining balcony, both open to a large private deck that includes downtown views as well. The main living level has access to a common view deck on the same level. The Mullen Building is a 16-unit conversion of 1920's warehouse, completed in 2002 designed by George Hauser architect, an example of industrial chic. 1-Car deeded garage parking, interior access. Elevator building.",3,2.5,,"1,510",Built 2002,Style  Contemporary,Type Condo/Townhome/Row Home/Co-Op,"$1,349,900",
"('37.728377', '-122.469572')",285 Moncada Way,San Francisco,CA,94127,place,"Warmth, substance & innovation characterize this 1925 classic: handsome architectural heritage, enviable floorplan & stunning gardens, on one of the loveliest streets in The Terraces. True California style: expansive great room & fireplace are the heart of this home open to lounge deck, &custom KIT, state of the art appl., robust pantry, home office & shared prep space/Island make an ultimate gathering place. Striking formal living room open to deck, formal dining is embraced by walls of windows. Flooded w/ glorious light, upper level 4 beds incl Master Suite. Freshly finished oak flooring, custom color, & designer lighting & hardware create an atmosphere of sophisticated polish. Large, usable lot, separate 2-car garage. Full basement: game RM, craft space, storage & laundry or dev. pot. Minutes from vibrant Ocean Ave, West Portal & Stonestown shopping, & ease of commute to the South Bay as well as SF Fidi. The best of the City in a tranquil setting.",4,2.5,"7,684","2,740",Built 1925,Style  Contemporary/Traditional/Custom/Tudor/English,Type Single Family Home,"$2,495,000",
"('37.798498', '-122.419765')",57-59 Russell St,San Francisco,CA,94109,place,"Fabulous 2 unit opportunity in the very Heart of Russian Hill on a wonderfully quiet side street at the intersection of the Hyde Street entertainment corridor. 2 level 3 bed, 2 bath lower unit (approximately 1, 165+/- sf) ready for you to create your dream dwelling. Needs complete aesthetic renovation. Upper level 1+ bedroom with wonderful long-term tenant around 860+ sf. Small, quiet yard, ready to be transformed to a little oasis....all accessible from the vacant lower residence bedrooms. 1 car garage parking, ample storage areas and room to improve. Jump on the trolley at the corner and head to the Bay! A must see!",4,3,"1,197","2,025",Built 1907,Style  Victorian,Type Multi-Family Home,"$1,695,000",
